,input_text,target_text
2535,A UFSC reserva 30% do total das vagas. ,A UFSC reserva 30% do total das vagas. 
1475,"A expectativa dos fabricantes de celulose que estão investindo no estado Votorantim Celulose e Papel (VCP), Stora Enso e Aracruz é de que o estudo sirva como informação para a compra de terras destinadas ao plantio de eucaliptos. ",A expectativa dos fabricantes de celulose que estão investindo no estado é de que o estudo sirva como informação para a compra de terras destinadas ao plantio de eucaliptos. 
1358,"Do outro lado do balcão, quem ensaia um brinde à crise são os produtores de vinho. ","Do outro lado do balcão, os produtores de vinho ensaiam um brinde à crise. "
1980,"A proporção de 2% de biodiesel em todo o diesel vendido no país a partir do dia 1º terá ""tolerância zero"", segundo Edson Silva, superintendente de abastecimento da Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP). ","Edson Silva afirmou que a proporção de 2% de biodiesel em todo o diesel vendido no país a partir do dia 1º terá ""tolerância zero"". "
1225,"Dos veículos, saem homens de luvas e máscaras, com máquinas pulverizadoras de inseticida presas às costas para matar o mosquito Aedes aegypti. ",Homens de luvas e máscaras saem dos veículos. 
176,"Esse tipo de cenário, conforme servidores da Casa, pode abrir brechas para a ocorrência de irregularidades, como a que produziu a fraude dos selos e deixou um rombo de pelo menos R$ 3,3 milhões ao parlamento. ",Os servidores da Assembléia Legislativa dizem que essa situação pode abrir brechas para irregularidades. 
50,"O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o Palácio do Planalto ajude Estados e municípios, mas mantém as dúvidas se as verbas serão suficientes. ",O projeto prevê a criação do Programa Nacional de Uniforme escolar para que o governo federal ajude Estados e municípios. 
1618,"O outro animal também foi atacado, mas conseguiu fugir com mais de 70 ferroadas. ",O outro animal também foi atacado. 
1568,O teto do tribunal desabou na explosão de um foguete. ,O teto do tribunal desabou na explosão de um foguete. 
3321,Sua atividade física não diferiu significativamente em relação à dos camundongos normais. ,Sua atividade física não foi diferente em relação à dos camundongos normais. 
3007,Pior ainda foi constatar que a sala de vídeo -- guardada por oito cadeados e duas portas -- tivera uma fechadura interna trancada por fora após o roubo. ,Pior foi ver que trancaram por fora uma fechadura interna da sala de vídeo. 
3323,Os animais magros consumiram mais energia até para respirar. ,Os animais magros consumiram mais energia até para respirar. 
2432,"Essas alavancas, localizadas no console do cockpit, entre o piloto e o co-piloto, devem ficar sempre alinhadas para transmitir o mesmo comando às duas turbinas. ",Essas alavancas ficam no console do cockpit. 
1751,"Eua, Grã-Bretanha, França e outros países temem que o Irã pretenda fabricar armas atômicas, mas os iranianos insistem que seu programa nuclear tem objetivos pacíficos -- a produção de energia. ","Eua, Grã-Bretanha, França e outros países temem que o Irã pretenda fabricar armas atômicas. "
2856,"O deputado federal Tarcísio Zimmermann (PT), presidente no Brasil da Rede Parlamentar Mundial, é um dos seis parlamentares brasileiros e único gaúcho com presença confirmada no evento. ",A participação também será limitada na política. 
2721,O paisagismo inclui flores penduradas nas árvores. ,O paisagismo inclui flores penduradas nas árvores. 
1050,"Engarrafamentos de até 80 quilômetros se formaram em avenidas, um movimento anormal para o período de férias escolares. ",Formaram-se engarrafamentos de até 80 quilômetros em avenidas. 
2421,"Mas, mesmo especulando, o vice-diretor da Faculdade de Ciências Aeronáuticas da PUCRS, Hildebrando Hoffmann, considera bem mais difícil que uma aeronave do fabricante norte-americano sofra um acidente como aquele. ",Mas Hildebrando Hoffmann considera muito mais difícil que uma aeronave do fabricante americano sofra um acidente como aquele. 
2169,"Em Bagé, na Campanha, fez frio como há meio século não ocorria no mês de julho: ","Em Bagé, na Campanha, fez frio como há meio século não ocorria no mês de julho: "
1310,"Confirmando a afinidade com Bento XVI, ele endossa as manifestações do Papa em assuntos polêmicos -- é contrário ao fim do celibato dos padres e ao casamento entre homossexuais, por exemplo. ",Ele apóia as manifestações do papa em assuntos polêmicos. 
1590,Imagine 15 minutos sob tensão. ,Imagine 15 minutos sob tensão. 
2687,"Para preencher as vagas, um novo edital deve ser lançado nos próximos dias, com duas alterações. ","Um novo edital deve ser lançado nos próximos dias, com o objetivo de preencher as vagas. "
1301,"-- Ele é muito jovem, mas um homem muito inteligente, uma pessoa muito equilibrada, conhecido por ser um bom administrador -- afirmou o monsenhor Stefano Migliorelli, chefe da seção brasileira da Secretaria de Estado do Vaticano. ",-- Ele é muito jovem. 
2125,"Em uma das fotos mostradas no julgamento, Diana está no banco traseiro do veículo e olha para trás, aparentemente para ver se o motorista havia despistado os paparazzi. ","Em uma das fotos mostradas no julgamento, Diana está no banco traseiro do veículo e olha para trás, provavelmente para ver se o motorista havia enganado os fotógrafos. "
2759,"No segundo, as dívidas ficam com a Varig Internacional. ","No segundo, as dívidas ficam com a Varig Internacional. "
243,"Isso significa secas mais freqüentes, como as que vêm ocorrendo no Rio Grande do Sul, e ondas de calor ou de frio fora do normal -- diz Nobre. ",Isso significa secas mais freqüentes e ondas de calor ou de frio fora do normal. 
3344,"Depois dos tomates, ele agora pesquisa macieiras. ","Depois dos tomates, ele agora pesquisa macieiras. "
1606,Enxame de abelhas ataca e mata cavalo da Brigada Militar. ,Enxame de abelhas ataca e mata cavalo da Brigada Militar. 
3551,"Isso não é um equipamento que vise aplicação comercial, afirmou. ",Isso não é um equipamento que vise aplicação comercial.
1680,A campanha parece estar dando resultados -- o site na internet (yosoydelosreyesmagos) recebeu mais de 30 mil visitas apenas nos primeiros dias e a causa conseguiu espaço na imprensa. ,A campanha parece estar dando resultados. 
3054,"No país, destacam-se a diminuição da prevalência em usuários de drogas injetáveis (UDI), relacionada aos programadas de redução de danos e o aumento em mulheres, atribuída, principalmente, ao comportamento sexual dos parceiros. ","No país, destacam-se a diminuição da prevalência em usuários de drogas que se tomam por injeção e o aumento em mulheres. "
3771,"Orientado por Ricardo Diaz, da Universidade Federal de São Paulo, Matos fez dessa pesquisa seu estudo de doutorado. ","Orientado por Ricardo Diaz, da Universidade Federal de São Paulo, Matos fez dessa pesquisa seu estudo de doutorado. "
3663,Ela matou cerca de 20 milhões de pessoas. ,Ela matou cerca de 20 milhões de pessoas. 
1720,A nova empresa também oferecerá diferentes serviços pela Internet. ,
1960,"O Instituto Nacional de Estatística da França comemora que o país alcançou, ano passado, a taxa de 2,0. ","O Instituto Nacional de Estatística da França comemora a taxa de 2,0 que o país alcançou no ano passado. "
874,"No meio da conversa, Yves avista alguém e grita ""Daniel, Daniel"". ","No meio da conversa, Yves vê alguém e grita ""Daniel, Daniel"". "
408,"Tenor das multidões, vendilhão da ópera, popstar erudito, gigante bonachão -- não faltaram epítetos, elogiosos ou não, para definir Luciano Pavarotti. ",Muitos adjetivos elogiosos ou não definiram Luciano Pavarotti: 
3045,"-- Ainda estamos muito distantes do patamar que consideramos adequado do ponto de vista ético e do compromisso assumido na Assembléia Geral da ONU em 2001 -- diz Chequer, ex-diretor do Programa Nacional de DST e Aids. ",-- Ainda estamos muito distantes do nível que consideramos adequado do ponto de vista ético e do compromisso assumido na Assembléia Geral da ONU em 2001 -- diz Chequer. 
618,"Ele chamou Lucilene, que correu para tentar socorrer a filha. ",Ele chamou Lucilene. 
2231,"Como a venda ocorre apenas no lado uruguaio, os fiscais brasileiros nada podem fazer. ","Como a venda ocorre apenas no lado uruguaio, os fiscais brasileiros nada podem fazer. "
2148,"A barreira invisível que separa o Leste do Oeste é percebida de forma diferente por jovens alemães como Franz e Stefanie, cujas histórias são contadas na página ao lado. ","Jovens alemães, como Franz e Stefanie, percebem de forma diferente a barreira invisível que separa o Leste do Oeste. "
1116,"A sexta-feira deveria ter sido o último dia do encontro, mas, de forma inédita, as sessões foram adiadas para hoje. ",A sexta-feira deveria ter sido o último dia do encontro. 
797,"Aluno da escola municipal de Ensino Fundamental Professor Anísio Teixeira, Maximiliano Nunes dos Santos, 11 anos, integrou a turma que preparou um prato para os ratões-do-banhado. ",Maximiliano Nunes dos Santos fez parte da turma que preparou um prato para os ratões-do-banhado. 
884,"E ele rebateu com ""assim, diferentão"". ",Ele respondeu: 
2208,Proprietária quer se desfazer dos bichos. ,Dona quer se desfazer dos bichos. 
2178,Sol não conseguiu elevar temperatura durante o dia. ,Sol não conseguiu elevar temperatura durante o dia. 
2047,"Entre as 69 propostas de mudanças na Constituição, Chávez vai da reeleição sem limites ao fim da autonomia do Banco Central, do direito a expropriar propriedades privadas à subordinação de governantes a militares nomeados por ele. ","Entre as 69 propostas de mudanças na Constituição, Chávez vai da reeleição sem limites ao fim da autonomia do Banco Central, do direito a desapropriar propriedades privadas à obediência de governantes a militares nomeados por ele. "
2329,"Sem contra-indicações, as gotinhas devem ser tomadas até mesmo por crianças com febre. ",Maria Aparecida müller vilarino é coordenadora do núcleo de vacinação da Secretaria Municipal da Saúde. 
2741,-- Uma seda vinda da Índia de cor dourado envelhecido será usada em Aparecida e um traje com predomínio da cor branca foi reservada para a capela do mosteiro -- disse. ,"-- Em Aparecida, usará uma seda vinda da Índia, de cor dourado envelhecido. "
3853,"O da americana ""Science"" foi feito por Ira M. Longini Jr., da Universidade Emory, em Atlanta (EUA), e mais sete colegas. ","O da ""Science"" é de Ira M. Longini Jr., da Universidade Emory em Atlanta, nos Estados Unidos, e mais sete colegas. "
1681,"Para desprestigiar o Papai Noel, tudo vale. ","Para desacreditar o Papai Noel, tudo vale. "
2838,"Agora, se sou socialista, isso ainda não sei. ","Agora, ainda não sei se sou socialista. "
2076,"Em 2006, envolveu 150 mil crianças de 144 municípios -- este ano, já são 157 mil beneficiados em 162 municípios. ","Em 2006, envolveu 150 mil crianças de 144 municípios. "
3472,"A matéria vai se compactando cada vez mais, até atingir um ponto em que a compressão leva os átomos de hidrogênio a grudar uns nos outros, em duas palavras, fusão nuclear. ","A matéria vai se compactando cada vez mais, até atingir um ponto em que a pressão leva os átomos de hidrogênio a grudar uns nos outros. "
3102,A prefeitura de Uruguaiana proibiu protestos no desfile estudantil de 7 de setembro. ,A prefeitura de Uruguaiana proibiu protestos no desfile de estudantes em 7 de setembro. 
3804,"Naquela época, o governo militar incentivou o povoamento de áreas do planalto do entorno do Pantanal para o desenvolvimento de agricultura e pecuária. ","Naquela época, o governo militar incentivou as pessoas a irem morar em áreas do planalto do entorno do Pantanal, com o objetivo de desenvolver agricultura e criação de gado. "
3918,A principal tarefa agendada será instalar uma plataforma de armazenamento do lado de fora da estação. ,A principal tarefa será instalar uma plataforma de depósito do lado de fora da estação. 
3226,"O presidente da Comissão Nacional de Ética em Pesquisa, William Saad Hossne, disse ontem, na 52ª Reunião Anual da Sociedade Brasileira para o Progresso da Ciência, que a comunidade científica internacional pode alterar a Declaração de Helsinque, sobre ética em pesquisas com humanos. ",O presidente da Comissão Nacional de Ética em Pesquisa é William Saad Hossne. 
1820,"Os benefícios estão previstos na Lei 7.474, de 8 de maio de 1986, e são concedidos a todos os políticos que já ocuparam a Presidência. ",Os benefícios estão previstos na Lei 7.474 de 8 de maio de 1986. 
2456,"Em 2005, o número de mortes em um grupo de mil crianças era de 25,8; ","Em 2005, o número de mortes em um grupo de mil crianças era de 25,8. "
3117,"-- Não sou contra nenhum tipo de manifestação, mas acho que na Semana da Pátria temos de ensinar aos alunos a ter amor pelo país onde eles vivem e não incitar protestos -- avalia. ","-- Não sou contra manifestação, mas acho que temos de ensinar aos alunos a ter amor pelo país onde vivem e não estimular protestos -- avalia. "
3299,"O que nós fizemos foi um ajuste fino, disse o pesquisador à Folha, por telefone. ","Por telefone, o pesquisador disse à Folha: "
1123,"O grupo europeu jogou duro com os americanos e ameaçou até boicotar um encontro que a Casa Branca está organizando, unilateralmente, para discutir o aquecimento global, no ano que vem. ",O grupo europeu jogou duro com os americanos. 
1503,"O presidente foi recebido por uma platéia arregimentada por PT, PC do B e PSB, partidos da base do governo. ","O presidente foi recebido por uma platéia reunida por PT, PC do B e PSB, partidos da base do governo. "
4023,"Conforme as pesquisas progrediram, a equipe descobriu que a resistência não se estende só ao gambá propriamente dito, mas também às cuícas e outros parentes do animal, todos caçadores de cobras, que teriam tido vantagens em desenvolver tais defesas bioquímicas. ","À medida que as pesquisas progrediram, a equipe descobriu que a resistência não se estende só ao gambá, mas também às cuícas e outros parentes do animal, todos caçadores de cobras, que teriam tido vantagens em desenvolver tais defesas bioquímicas. "
688,"E fulminou um de seus maiores críticos, o bispo Roberto Lücker: ",Chávez disse palavras duras para um de seus maiores críticos. 
3307,"A demanda aumenta de forma drástica no mundo todo, afirmou o especialista em recursos hídricos José Galizia Tundisi, do Instituto Internacional de Ecologia, em São Carlos (SP). ",O especialista em reservas de água José Galizia Tundisi afirmou: 
3400,"Ainda não foi desta vez que ele achou, mas a meta pode não estar longe. ","Ainda não foi desta vez que ele achou, mas a meta pode não estar longe. "
3440,"Os primeiros animais aparentados com os cachorros modernos, os primeiros canídeos, foram identificados em fósseis de 37 milhões de anos achados na América do Norte e aparecem na forma de fósseis na Europa há 7 milhões de anos. ",Os primeiros animais parentes dos cachorros modernos foram identificados em fósseis de 37 milhões de anos achados na América do Norte e em fósseis de 7 milhões de anos na Europa. 
2458,"O estudo, denominado Tábua de Vida 2006, mostrou que, entre 1980 e 2006, a queda no índice de mortalidade infantil no Brasil foi de 64%, passando de 69,1 óbitos para cada mil nascidos vivos, para 24,9. ",O estudo é chamado Tábua da Vida 2006. 
1953,"Os nascimentos de bebês despencaram a partir da década de 70, imobilizando a taxa de fecundidade no Velho Continente, hoje, em 1,52 filho por família. ","Os nascimentos de bebês caíram muito a partir da década de 70, imobilizando a taxa de fecundidade no Velho Continente, hoje, em 1,52 filho por família. "
1342,O fato de o país estar em posição mais confortável facilita a tomada de decisões. ,O fato de o país estar em posição mais confortável facilita a tomada de decisões. 
1248,"Um acidente insólito matou o gaúcho Augusto Machado da Câmara Lima, 26 anos, quando ele desfrutava do feriadão nas praias catarinenses. ",Um acidente raro matou o gaúcho Augusto Machado da Câmara Lima. 
3948,"Algumas espécies surgem da casca de árvores vivas, enquanto outras se alimentam de matéria vegetal em decomposição. ","Algumas espécies surgem da casca de árvores vivas, enquanto outras se alimentam de matéria vegetal em decomposição. "
3235,"Comprovou-se que o regime mais breve basta, na maioria dos casos, para impedir a contaminação. ",Comprovou-se que o regime mais breve basta para impedir a contaminação na maioria dos casos. 
2955,"Segundo Anelise, o parque seria o maior da América do Sul em número de animais. ",Anelise diz que o parque seria o maior da América do Sul em número de animais. 
3036,A África Subsaariana concentra 68% dos casos e 76% das mortes. ,A África Subsaariana concentra 68% dos casos e 76% das mortes. 
2312,"-- É uma alternativa, assim como o são a construção de uma marina ou da quarta ponte, mas não podemos resolver problemas da Capital sem pensar nos municípios vizinhos -- alerta. ","-- É uma alternativa, assim como a construção de uma marina ou da quarta ponte, mas não podemos resolver problemas da Capital sem pensar nos municípios vizinhos -- alerta. "
1478,"Mais do que os locais adequados, a discussão da implantação de florestas no estado deve ser norteada pelos métodos de plantio e manejo, defende o professor do Departamento de Ciências Florestais da Universidade Federal de Santa Maria Mauro Schumacher. ",O professor Mauro Schumacher defende que a discussão da plantação de florestas no estado deve ser guiada mais pelos métodos de plantio e manejo do que pelos locais adequados. 
601,"Riquelme, de cinco anos, enfrentou uma casa em chamas. ",Riquelme enfrentou uma casa em chamas. 
3080,"É para satisfazer plenamente ouvintes, leitores, telespectadores e usuários dos seus vários serviços que a RBS produz e entrega informação, entretenimento e conteúdos diversos. ","A RBS produz e entrega informação, diversão e conteúdos diversos, com o objetivo de satisfazer totalmente ouvintes, leitores, telespectadores e usuários de seus vários serviços. "
3898,"Enquanto realizavam suas últimas atividades em conexão com a ISS, os nove astronautas a bordo prestaram uma homenagem, em inglês, russo e japonês, aos que jamais conseguiram fazer a viagem de volta para casa: ","Ao mesmo tempo em que realizavam suas últimas atividades em conexão com a ISS, os nove astronautas a bordo prestaram uma homenagem, em inglês, russo e japonês, aos que jamais conseguiram fazer a viagem de volta para casa: "
3072,"E deverão ser atualizadas com o tempo, informou a empresa. ",A empresa informou que deverão ser atualizadas com o tempo. 
2224,"Preocupado com a venda livre de caturritas em Rivera, cidade uruguaia separada de Santana do Livramento apenas por uma rua, o Consulado Brasileiro tenta alternativas para coibir esse tipo de comércio no país vizinho. ","Preocupado com a venda livre de caturritas em Rivera, cidade uruguaia separada de Santana do Livramento apenas por uma rua, o Consulado Brasileiro tenta alternativas com o objetivo de impedir esse tipo de comércio no país vizinho. "
2206,"-- Tivemos uma melhora na média devido a um programa de prevenção que implementamos, com os carteiros fazendo o levantamento de riscos. ","-- Tivemos uma melhora na média devido a um programa de prevenção que colocamos em prática, com os carteiros fazendo a pesquisa de riscos. "
1678,A campanha parece estar dando resultados -- o site na internet (yosoydelosreyesmagos) recebeu mais de 30 mil visitas apenas nos primeiros dias e a causa conseguiu espaço na imprensa. ,A campanha parece estar dando resultados. 
3259,A substância atinge o sistema nervoso da aranha. ,A substância atinge o sistema nervoso da aranha. 
665,"O novo mandato do presidente, que prestou juramento na Assembléia Nacional, em Caracas, vai até 2013. ",O novo mandato do presidente vai até 2013. 
1882,"No total, os projetos alcançam US$ 2,75 bilhões, com possibilidade de chegar a US$ 3,6 bilhões caso se concretize a intenção da Tractebel, a maior geradora privada do país, de acrescentar a usina termelétrica Pampa à já garantida Seival. ","No total, os projetos alcançam US$ 2,75 bilhões. "
3280,Masculino e feminino. ,Masculino e feminino. 
3447,"A equipe de Peter Savolainen, do Instituto Real de Tecnologia de Estocolmo, Suécia, constatou que a diversidade genética era maior entre os cães do leste asiático. ","A equipe de Peter Savolainen é do Instituto Real de Tecnologia de Estocolmo, na Suécia. "
3924,"Um equivalente europeu está na Alemanha, aguardando o mesmo fim. ","Um equivalente europeu está na Alemanha, aguardando um fim igual. "
2396,"Fundamental no funcionamento do quadrado mágico do técnico Carlos Alberto Parreira, Kaká, o maior destaque do amistoso contra a seleção de Lucerna, clamou aos companheiros de ataque: ",Kaká é fundamental no funcionamento do quadrado mágico do técnico Carlos Alberto Parreira. 
1098,"Dos entrevistados com menos de 18 anos, 20% revelaram já ter dirigido um carro. ","Dos entrevistados com menos de 18 anos, 20% revelaram já ter dirigido um carro. "
2493,"Seu Deca morreu em 1993, dois anos após conceder uma entrevista para a revista Veja que foi o marco inicial de uma história que ganha hoje, na abertura do Espaço Zeperri, mais um capítulo importante. ",Seu Deca morreu em 1993. 
2736,"No refeitório, cadeira de bronze com estofado em branco. ","No refeitório, cadeira de bronze com estofado branco. "
1981,O posto que descumprir a norma poderá ser fechado: ,O posto que deixar de cumprir a norma poderá ser fechado: 
3636,"Francelino Grando, secretário de Política Tecnológica Empresarial do MCT (Ministério da Ciência e Tecnologia), disse que a proposta é ""uma equação lógica"". ",O secretário de Política Tecnológica Empresarial do Ministério da Ciência e Tecnologia (MCT) é Francelino Grando. 
170,Um deles se refere ao fato de cada deputado ter três carros cadastrados para fins de indenização por uso de carro particular. ,Um dos temas é o fato de cada deputado ter três carros registrados para receber devolução de dinheiro por uso de carro particular. 
1064,"A Padaria Novo Presidente, no bairro Jardim Congonhas, mandou buscar os funcionários que estavam atrasados. ",A Padaria Novo Presidente mandou buscar os funcionários que estavam atrasados. 
108,Um deles teria a participação de policiais civis e militares que dariam proteção aos bandidos. ,Um deles teria a participação de policiais civis e militares. 
2113,"No final da noite de domingo, o presidente se deslocou discretamente para base aérea de Andrews, perto de Washington, com apenas um carro na escolta -- usualmente, a comitiva inclui pelo menos 10 veículos. ","No final da noite de domingo, o presidente se deslocou para a base aérea de Andrews, perto de Washington, sem chamar a atenção. "
469,"Conforme o jornal, a nova estratégia da Casa Branca para o Iraque incluiria também um pacote de obras públicas orçado em US$ 1 bilhão, que beneficiaria com trabalho e renda iraquianos desempregados. ",O jornal afirma que a nova estratégia da Casa Branca para o Iraque incluiria também um pacote de obras públicas de 1 bilhão de dólares. 
52,-- Não podemos acrescentar nenhuma despesa no nosso orçamento. ,-- Não podemos acrescentar nenhuma despesa no nosso orçamento. 
3063,"Mesmo que você já tenha o software instalado em seu computador -- que é gratuito e está disponível em português, será preciso baixar da Internet essa última versão. ","Mesmo que você já tenha o software instalado em seu computador, será preciso baixar da Internet essa última versão. "
187,"Conforme membros da comissão, sempre que se debruçou sobre o assunto, a Assembléia produziu resoluções que foram ""afrouxando o controle"", que hoje é baseado apenas na declaração de gasto feita pelo parlamentar. ",Os membros da comissão dizem que a Assembléia produziu resoluções que foram afrouxando o controle dos gastos. 
2784,"Jovens sentados no chão com os seus laptops -- conectados à web por meio da rede wireless (sem fio) montada no local -- tornaram-se parte do cenário do evento, que deverá totalizar, até sábado, cerca de 6 mil pessoas de 20 países. ",Jovens sentados no chão com os seus laptops tornaram-se parte do cenário do evento. 
811,"Em outras regiões do globo, La Niña também fará suas estripulias. ",La Niña também fará suas travessuras em outras regiões do globo. 
3982,"A linhagem dos marsupiais e placentários (que são conhecidos pelo apelido comum de térios) se distingue justamente pelas cavidades especiais dos molares, que ajudam a triturar a comida com mais eficiência e estão presentes no espécime. ","A série de gerações dos marsupiais e dos mamíferos que desenvolvem placenta se distingue justamente pelos buracos especiais dos molares, que ajudam a mastigar a comida com mais vantagem e estão presentes no dente achado. "
2469,"Assim como a expectativa de vida, a mortalidade infantil é marcada pela desigualdade regional. ",A expectativa de vida é marcada pela falta de igualdade regional. 
3896,Passaram a madrugada fazendo testes com túneis de vento. ,Passaram a madrugada fazendo testes com túneis de vento. 
2475,"-- Mantida a atual velocidade de expansão, o Brasil atingirá em 12 anos a média de 76,2 anos, registrada por países com IDH superior a 0,8, entre eles EUA, nações européias, Argentina, Chile e Uruguai -- disse o chefe do Centro de Políticas Sociais da Fundação Getúlio Vargas (FGV-RJ), Marcelo Néri. ","-- Mantida a atual velocidade de crescimento, em 12 anos, o Brasil atingirá a média de 76,2 anos. "
895,Aquela menina se chama Joana Mocarzel. ,Aquela menina se chama Joana Mocarzel. 
498,"No entanto, o trânsito só pode ser observado quando os três astros estão alinhados, o que é muito difícil de ocorrer -- explica o físico e astrônomo Luiz Augusto da Silva. ",Mas o trânsito só pode ser observado quando os três astros estão alinhados. 
2717,São mais de 150 orquídeas e 3 mil variedades tropicais trazidas de Recife de avião e espalhadas pelos ambientes por onde Bento XVI circulará. ,São mais de 150 orquídeas e 3 mil variedades tropicais. 
3959,"A boa notícia é que pesquisadores argentinos acharam o mais antigo mamífero com traços modernos da América do Sul, capaz de preencher uma lacuna de milhões de anos na história desses animais. ","A boa notícia é que os pesquisadores argentinos acharam o mais antigo mamífero de traços modernos da América do Sul, capaz de preencher um intervalo de milhões de anos na história desses animais. "
304,"Apenas um dos parlamentares -- a deputada Jusmari de Oliveira, que deixou o DEM e ingressou no PR -- trocou de legenda após 27 de março. ",Apenas um dos deputados trocou de partido após 27 de março. 
1848,"O banco central chinês aumentou recentemente o depósito compulsório à vista dos bancos, retirando dinheiro de circulação para evitar especulação com ações, uma das principais formas de investimento no país. ",O banco central chinês aumentou há pouco tempo o depósito à vista obrigatório para os bancos. 
1436,"Na manhã de ontem, cerca de 30 estudantes foram de microônibus até o local para plantar árvores. ","Na manhã de ontem, cerca de 30 estudantes foram plantar árvores no local. "
3138,"Um dos telescópios já está pronto e em funcionamento no Havaí, EUA. ","Um dos telescópios já está pronto e em funcionamento no Havaí, EUA. "
3241,"Os EUA, disse ele, foram um dos últimos países a assinar a Declaração de Helsinque. ",Ele disse que os EUA foram um dos últimos países a assinar a Declaração de Helsinque. 
3057,"O índice passou de 630 mil, em 2001, para 1,6 milhão, em 2007, sendo que 90% dos infectados no Leste Europeu vivem na Ucrânia e na Rússia. ","O índice passou de 630 mil em 2001 para 1,6 milhão em 2007, sendo que 90% dos contaminados no Leste Europeu vivem na Ucrânia e na Rússia. "
1667,"Pouco a pouco, contudo, os espanhóis vêm se rendendo aos costumes de outros países, e é aí que entra o combate ao bom e velho Papai Noel, que está roubando espaço daqueles que presentearam Jesus no dia de seu nascimento. ","Mas, pouco a pouco, os espanhóis vêm se rendendo aos costumes de outros países. "
3211,"Batizado de santanaraptor placidus, o fóssil é o único encontrado no país com restos de tecido mole, como fibras musculares, vasos sanguíneos e pele. ",Batizaram o fóssil de Santanaraptor Placidus. 
2134,"Ontem, o juiz Baker afirmou que ""nunca se saberá"" se a princesa estava grávida no momento do acidente, como o pai de Dodi afirma. ","Ontem, o juiz Baker afirmou que ""nunca se saberá"" se a princesa estava esperando bebê no momento do acidente, como o pai de Dodi afirma. "
1363,Produtor com soja ainda no silo pode ter ganhos maiores. ,Produtor com soja no depósito pode ter ganhos maiores. 
154,O cientista político Paulo Moura observa que o envolvimento do governador Germano Rigotto e do senador Pedro Simon na briga pela candidatura própria do PMDB a presidente congelou as negociações no estado. ,O cientista político Paulo Moura observa que a participação do governador Germano Rigotto e do senador Pedro Simon na briga pela candidatura própria do PMDB a presidente congelou os entendimentos no estado. 
3141,"Segundo Steiner, os telescópios Gemini têm capacidade científica de observação e qualidade de imagem dez vezes superiores às de um telescópio espacial. ",Steiner diz que a capacidade científica de observação e a qualidade de imagem dos telescópios Gemini são dez vezes superiores às de um telescópio espacial. 
2586,"Esperando esse comportamento, a Secretaria de Educação de Uruguaiana elaborou uma resolução no início de agosto que proíbe o funcionamento de bares nas escolas municipais. ",A Secretaria de Educação de Uruguaiana espera esse comportamento. 
3835,As formigas não a vêem como uma ameaça. ,As formigas não a vêem como uma ameaça. 
1338,"É uma conseqüência que pode trazer benefícios -- avalia Paulo Tigre, presidente da Federação das Indústrias do Estado. ",Essa conseqüência pode trazer benefícios -- avalia Paulo Tigre. 
474,"Recém-empossada presidente da Câmara, a deputada democrata Nancy Pelosi prometeu ontem uma ""análise cuidadosa"" dos planos do governo antes da aprovação da liberação de fundos. ","A deputada democrata Nancy Pelosi prometeu ontem uma ""análise cuidadosa"" dos planos do governo antes da aprovação da liberação de fundos. "
3112,"A Semana da Pátria é para ser um momento de discussão da situação do nosso país, e não uma celebração domesticada -- diz. ",A Semana da Pátria é para ser um momento de discussão da situação do nosso país. 
1825,Aguarda definição da Casa Civil da Presidência. ,Ele aguarda definição da Casa Civil da Presidência. 
3139,"O outro entrará em operação no ano que vem, em Atacama, Chile, e o Brasil terá direito a usá-lo 14 noites por ano. ","O outro começará a funcionar no ano que vem em Atacama, Chile. "
2530,"Valternei Réus, advogado do movimento, disse que a região é de agricultores e que a atividade será comprometida caso a mina seja instalada. ","Valternei Réus, advogado do movimento, disse que a região é de agricultores e que a atividade será comprometida, caso a mina seja instalada. "
1414,"Situado ao lado da rodovia Sarandi-Ronda Alta (RS-404), o terreno é acidentado, ao pé de morros, e oferece uma bela vista da região. ","O terreno fica ao pé de morros, ao lado da rodovia Sarandi-Ronda Alta. "
2385,"-- Foi um padre de Casca que introduziu o rodízio da santinha para aumentar a fé e fazer com que nós conhecêssemos e freqüentássemos mais as casas dos outros -- lembra a agricultora, que mora na localidade de Montes Cárpatos. ","Foi um padre de Casca que introduziu o revezamento da santinha, com o objetivo de aumentar a fé e fazer com que nós conhecêssemos e freqüentássemos mais as casas dos outros -- lembra a agricultora. "
1546,"Anoitece, e o calor de 28º C desta quinta-feira de verão no Oriente Médio dá lugar a uma brisa que sopra do Mediterrâneo. ",A noite vem chegando. 
744,"Gaúcha de Porto Alegre, Tereza Pinheiro, 63 anos, vende há 10 anos suvenires de Frei Galvão na porta do mosteiro. ",Tereza tem 63 anos. 
2036,A população que vai às urnas neste domingo para decidir se o presidente Hugo Chávez poderá se reeleger indefinidamente nunca esteve tão dividida. ,A população que vai às urnas neste domingo com o objetivo de decidir se o presidente Hugo Chávez poderá se reeleger indefinidamente nunca esteve tão dividida. 
523,"A senadora Kátia Abreu (DEM-TO), relatora da proposta sobre o imposto do cheque na CCJ, disse que apresentará parecer contrário à continuidade do tributo. ",A senadora Kátia Abreu disse que apresentará parecer contra a continuação da CPMF. 
